time_step,independent_watts,correlated_watts
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.1,0.0
8,0.1,0.1
9,0.1,0.0
10,0.3,0.0
11,1.0,0.0
12,0.1,0.0
13,0.1,0.0
14,0.1,0.6
15,0.1,0.1
16,0.2,0.0
17,5.5,0.1
18,0.2,0.0
19,0.2,0.1
20,0.5,0.2
21,1.4,1.2
22,0.2,0.1
23,0.3,0.1
24,0.2,0.6
25,0.2,0.5
26,0.1,0.1
27,16.4,0.0
28,0.2,0.4
29,0.5,0.5
30,1.1,0.0
31,2.1,0.2
32,0.6,0.1
33,0.9,0.2
34,1.8,0.7
35,0.5,5.6
36,0.4,0.0
37,1.4,15.5
38,0.4,0.1
39,1.9,1.3
40,0.9,0.1
41,1.7,0.1
42,1.3,0.2
43,1.0,0.4
44,1.2,0.9
45,0.5,0.8
46,0.3,0.1
47,17.1,0.0
48,0.4,0.3
49,1.4,0.1
50,1.1,15.0
51,1.6,0.1
52,0.9,0.5
53,1.4,0.1
54,1.3,1.6
55,0.4,0.3
56,6.2,0.1
57,1.0,0.2
58,0.4,0.3
59,16.3,0.3
60,1.7,0.3
61,1.1,0.3
62,1.5,0.2
63,0.3,0.2
64,15.8,1.3
65,0.9,0.3
66,0.5,0.3
67,15.4,0.3
68,0.5,0.2
69,1.3,1.3
70,1.8,0.4
71,1.9,16.5
72,1.1,0.3
73,10.5,0.5
74,1.5,0.2
75,16.9,1.8
76,1.1,0.3
77,1.1,1.0
78,0.8,1.3
79,2.2,1.4
80,1.2,0.0
81,2.2,0.4
82,0.8,1.2
83,0.4,1.1
84,2.3,0.2
85,0.5,1.5
86,0.8,1.3
87,0.4,0.4
88,14.4,1.3
89,1.9,1.4
90,3.5,0.1
91,1.9,0.6
92,1.8,1.8
93,0.3,0.6
94,25.1,0.8
95,2.0,33.2
96,0.6,0.4
97,0.7,15.7
98,3.0,1.5
99,2.1,3.0
100,3.2,180.4
101,2.8,11.1
102,16.2,7.2
103,1.4,1.7
104,1.3,2.6
105,3.1,2.5
106,2.5,1.4
107,1.1,2.6
108,2.5,1.2
109,2.6,2.7
110,17.9,0.2
111,3.0,0.7
112,1.3,4.9
113,18.3,0.4
114,2.2,0.6
115,2.2,2.0
116,1.8,6.9
117,1.6,3.2
118,18.1,1.5
119,0.8,2.1
120,4.4,1.4
121,2.7,1.2
122,1.2,18.9
123,1.6,0.3
124,1.3,0.8
125,1.4,3.4
126,49.8,0.9
127,15.3,1.9
128,19.1,0.6
129,2.2,1.1
130,20.5,1.9
131,2.6,0.4
132,17.6,2.5
133,1.0,15.8
134,0.6,2.5
135,8.9,2.0
136,2.3,0.5
137,15.4,17.3
138,2.1,0.7
139,0.8,0.3
140,3.0,3.0
141,3.8,29.8
142,1.4,3.7
143,1.4,0.7
144,0.7,0.8
145,20.7,0.7
146,17.5,0.2
147,0.3,11.1
148,2.8,16.8
149,1.1,0.5
150,3.1,6.7
151,3.2,0.3
152,2.2,0.4
153,0.7,8.0
154,2.2,0.5
155,4.3,1.1
156,1.9,0.4
157,1.1,0.3
158,1.8,0.6
159,0.9,0.6
160,2.2,1.5
161,4.3,0.4
162,3.9,1.2
163,0.4,7.7
164,0.9,0.6
165,2.7,0.9
166,1.8,5.8
167,0.7,0.6
168,2.4,0.6
169,0.7,0.4
170,2.1,1.1
171,4.1,0.3
172,2.2,1.0
173,7.5,15.8
174,0.9,2.3
175,19.6,1.2
176,1.8,0.1
177,0.5,0.3
178,1.0,1.3
179,2.1,3.1
180,2.2,0.3
181,18.7,0.3
182,3.6,1.5
183,0.9,1.8
184,0.5,1.1
185,3.2,0.9
186,1.7,0.5
187,0.8,0.4
188,0.8,0.2
189,2.1,0.6
190,3.1,0.4
191,3.2,0.5
192,2.4,2.6
193,0.9,0.5
194,0.7,14.4
195,2.7,0.6
196,2.5,1.8
197,2.2,0.8
198,1.1,0.4
199,1.5,0.3
200,1.5,1.8
201,4.1,0.4
202,3.1,1.9
203,0.7,0.8
204,0.8,0.7
205,2.5,0.7
206,7.1,1.1
207,0.9,0.2
208,15.6,14.7
209,2.0,0.7
210,1.9,0.4
211,17.6,0.6
212,3.2,2.1
213,28.7,0.9
214,1.2,0.6
215,16.0,1.1
216,1.4,0.6
217,1.0,0.4
218,0.7,17.5
219,2.0,0.6
220,3.0,0.5
221,4.5,0.5
222,2.9,2.5
223,0.4,6.2
224,0.5,0.7
225,20.0,0.4
226,1.8,0.2
227,0.5,2.0
228,1.2,1.4
229,3.8,0.3
230,1.9,0.2
231,3.8,1.8
232,18.0,3.5
233,0.8,0.3
234,1.7,0.4
235,2.0,15.0
236,2.2,0.5
237,1.3,0.7
238,0.6,1.8
239,3.2,0.8
240,2.4,0.5
241,5.0,2.0
242,6.0,2.0
243,6.1,1.2
244,15.8,0.4
245,18.4,0.6
246,1.0,0.7
247,0.9,7.0
248,1.7,0.4
249,3.5,1.5
250,16.6,1.4
251,2.0,18.0
252,32.5,0.6
253,1.4,2.3
254,2.0,1.5
255,3.0,0.7
256,1.9,0.3
257,0.8,0.3
258,1.7,1.1
259,2.8,1.1
260,3.4,0.5
261,1.3,1.1
262,3.8,1.2
263,1.2,2.2
264,1.1,0.5
265,18.5,0.4
266,1.9,0.5
267,1.0,0.6
268,2.3,0.8
269,2.7,1.6
270,3.1,0.5
271,1.8,1.3
272,16.9,0.4
273,20.1,2.7
274,3.1,34.4
275,1.8,0.3
276,2.0,16.9
277,1.6,0.3
278,0.9,0.8
279,2.8,0.9
280,19.3,0.2
281,9.2,1.6
282,2.6,0.7
283,1.5,1.8
284,1.1,1.3
285,1.9,0.4
286,4.2,0.3
287,0.7,0.4
288,0.7,1.5
289,3.4,0.8
290,1.5,0.1
291,18.6,2.1
292,3.5,0.9
293,1.8,1.5
294,0.9,1.3
295,15.7,0.7
296,3.2,0.2
297,0.7,0.4
298,17.3,1.1
299,3.3,1.2
